VTDID,Plan1,Plan2,Plan3,Plan4,Plan5,Plan6
270830035,7,7,7,7,7,1
271730090,7,7,7,7,7,1
270830045,7,7,7,7,7,0
271730095,7,7,7,7,7,1
271730105,7,7,7,7,7,1
271730110,7,7,7,7,7,1
270830065,7,7,7,7,7,1
271730120,7,7,7,7,7,1
270830075,7,7,7,7,7,1
271730130,7,7,7,7,7,1
271730100,7,7,7,7,7,1
270830050,7,7,7,7,7,0
271730145,7,7,7,7,7,1
271730150,7,7,7,7,7,1
271730155,7,7,7,7,7,1
270830125,7,7,7,7,7,1
270830090,7,7,7,7,7,1
270830135,7,7,7,7,7,1
270830140,7,7,7,7,7,0
270830145,7,7,7,7,7,1
270830150,7,7,7,7,7,0
270830095,7,7,7,7,7,1
270830160,7,7,7,7,7,1
270830165,7,7,7,7,7,1
270830170,7,7,7,7,7,0
270830180,7,7,7,7,7,1
270830185,7,7,7,7,7,1
270850005,7,7,7,7,7,1
271050125,1,7,1,1,1,0
270850015,7,7,7,7,7,1
270850020,7,7,7,7,7,1
270850025,7,7,7,7,7,1
270850030,7,7,7,7,7,1
270850035,7,7,7,7,7,1
270850040,7,7,7,7,7,1
270850045,7,7,7,7,7,1
270850050,7,7,7,7,7,1
270150085,1,1,1,1,1,0
270850060,7,7,7,7,7,1
270850065,7,7,7,7,7,1
270850070,7,7,7,7,7,1
270850075,7,7,7,7,7,1
270850080,7,7,7,7,7,1
270850095,7,7,7,7,7,1
270830010,7,7,7,7,7,0
270850105,7,7,7,7,7,1
270850110,7,7,7,7,1,1
270850115,7,7,7,7,7,1
270850120,7,7,7,7,7,1
270850125,7,7,7,7,7,1
270810080,7,7,7,7,7,1
270850135,7,7,7,7,7,1
270850140,7,7,7,7,7,1
270830025,7,7,7,7,7,1
271050175,1,1,1,1,1,0
270830030,7,7,7,7,7,0
270830040,7,7,7,7,7,1
270810085,7,7,7,7,7,1
271730025,7,7,7,7,7,1
271730030,7,7,7,7,7,1
270830055,7,7,7,7,7,1
271730035,7,7,7,7,7,1
270830060,7,7,7,7,7,1
271730045,7,7,7,7,7,1
270830070,7,7,7,7,7,1
270150075,1,1,1,1,1,0
271730065,7,7,7,7,7,1
270830080,7,7,7,7,7,1
270810075,7,7,7,7,7,1
271730070,7,7,7,7,7,1
270830085,7,7,7,7,7,1
271730085,7,7,7,7,7,1
270830105,7,7,7,7,7,1
270910005,1,1,1,1,1,0
270830115,7,7,7,7,7,1
270910010,1,1,1,1,1,0
270910015,1,1,1,1,1,0
270910020,1,1,1,1,1,0
270910025,1,1,1,1,1,0
270910030,1,1,1,1,1,0
270910035,1,1,1,1,1,0
270910040,1,1,1,1,1,0
270910050,1,1,1,1,1,0
270910055,1,1,1,1,1,0
270910065,1,1,1,1,1,0
270910070,1,1,1,1,1,0
270910080,1,1,1,1,1,0
270910085,1,1,1,1,1,0
270910095,1,1,1,1,1,0
270910100,1,1,1,1,1,0
270910105,1,1,1,1,1,0
270910110,1,1,1,1,1,0
270910115,1,1,1,1,1,0
270910120,1,1,1,1,1,0
270910125,1,1,1,1,1,0
270910130,1,1,1,1,1,0
270910135,1,1,1,1,1,0
270910140,1,1,1,1,1,0
270910145,1,1,1,1,1,0
270910150,1,1,1,1,1,0
270910155,1,1,1,1,1,0
270910160,1,1,1,1,1,0
270910165,1,1,1,1,1,0
270910170,1,1,1,1,1,0
270910175,1,1,1,1,1,0
270910180,1,1,1,1,1,0
270910185,1,1,1,1,1,0
270910195,1,1,1,1,1,0
270910200,1,1,1,1,1,0
270910205,1,1,1,1,1,0
270910210,1,1,1,1,1,0
270930005,7,7,7,7,7,1
