VTD,COURT_ORDERED,PLAN1,PLAN2,PLAN3,PLAN4,PLAN5,PLAN6,PLAN7,PLAN8,PLAN9,PLAN10
270010005,8,1,2,1,1,2,4,8,8,8,8
270010010,8,1,2,1,1,2,4,8,8,8,8
270010015,8,1,2,1,1,2,4,8,8,8,8
270010020,8,1,2,1,1,2,4,8,8,8,8
270010025,8,1,2,1,1,2,4,8,8,8,8
270010030,8,1,2,1,1,2,4,8,8,8,8
270010035,8,1,2,1,1,2,4,8,8,8,8
270010038,8,1,2,1,1,2,4,8,8,8,8
270010040,8,1,2,1,1,2,4,8,8,8,8
270010045,8,1,2,1,1,2,4,8,8,8,8
270010050,8,1,2,1,1,2,4,8,8,8,8
270010055,8,1,2,1,1,2,4,8,8,8,8
270010060,8,1,2,1,1,4,4,8,8,8,8
270010065,8,1,2,1,1,2,1,8,8,8,8
270010070,8,1,2,1,1,2,1,8,8,8,8
270010075,8,1,2,1,1,4,4,8,8,8,8
270010080,8,1,2,1,1,2,4,8,8,8,8
270010082,8,1,2,1,1,4,4,8,8,8,8
270010085,8,1,2,1,1,2,4,8,8,8,8
270010090,8,1,2,1,1,4,4,8,8,8,8
270010095,8,1,2,1,1,2,4,8,8,8,8
270010100,8,1,2,1,1,2,4,8,8,8,8
270010105,8,1,2,1,1,2,4,8,8,8,8
270010110,8,1,2,1,1,2,4,8,8,8,8
270010115,8,1,2,1,1,4,4,8,8,8,8
270010120,8,1,2,1,1,2,4,8,8,8,8
270010125,8,1,2,1,1,2,4,8,8,8,8
270010130,8,1,2,1,1,2,1,8,8,8,8
270010132,8,1,2,1,1,4,4,8,8,8,8
270010135,8,1,2,1,1,4,4,8,8,8,8
270010140,8,1,2,1,1,2,4,8,8,8,8
270010145,8,1,2,1,1,2,4,8,8,8,8
270010150,8,1,2,1,1,2,4,8,8,8,8
270010155,8,1,2,1,1,4,4,8,8,8,8
270010160,8,1,2,1,1,2,4,8,8,8,8
270010165,8,1,2,1,1,2,4,8,8,8,8
270010170,8,1,2,1,1,4,4,8,8,8,8
270010175,8,1,2,1,1,2,4,8,8,8,8
270010180,8,1,2,1,1,2,4,8,8,8,8
270010185,8,1,2,1,1,2,4,8,8,8,8
270010190,8,1,2,1,1,2,4,8,8,8,8
270010195,8,1,2,1,1,2,4,8,8,8,8
270010200,8,1,2,1,1,2,4,8,8,8,8
270010205,8,1,2,1,1,4,4,8,8,8,8
270010210,8,1,2,1,1,2,4,8,8,8,8
270010215,8,1,2,1,1,4,4,8,8,8,8
270010220,8,1,2,1,1,4,4,8,8,8,8
270010225,8,1,2,1,1,4,4,8,8,8,8
270010230,8,1,2,1,1,2,4,8,8,8,8
270010240,8,1,2,1,1,2,4,8,8,8,8
270010241,8,1,2,1,1,2,4,8,8,8,8
270010255,8,1,2,1,1,2,4,8,8,8,8
270010260,8,1,2,1,1,2,4,8,8,8,8
270010285,8,1,2,1,1,2,1,8,8,8,8
270010290,8,1,2,1,1,2,4,8,8,8,8
270030005,6,2,1,8,2,4,4,6,6,6,6
270030010,6,2,1,8,2,4,4,6,6,6,6
270030015,6,2,1,8,2,4,4,6,6,6,6
270030020,6,2,1,8,2,4,4,6,6,6,6
270030025,6,2,1,8,2,4,4,6,6,6,6
270030030,6,2,1,8,2,4,4,6,6,6,6
270030035,6,2,1,8,2,4,4,6,6,6,6
270030040,6,2,1,8,2,4,4,6,6,6,6
270030045,6,2,1,8,2,4,4,6,6,6,6
270030050,6,2,1,8,2,4,4,6,6,6,6
270030105,3,2,1,8,2,4,3,6,6,6,6
270030110,3,2,1,8,2,4,3,6,6,6,6
270030115,3,2,1,8,2,4,3,6,6,6,6
270030120,3,2,1,8,2,4,3,6,6,6,6
270030125,3,2,1,8,2,4,3,6,6,6,6
270030130,3,2,1,8,2,4,3,6,6,6,6
270030135,3,2,1,8,2,4,4,6,6,6,6
270030140,3,2,1,8,2,4,3,6,6,6,6
270030205,6,2,1,8,2,4,4,6,8,6,8
270030305,6,2,1,8,2,7,6,6,6,6,6
270030310,6,2,1,8,2,4,6,6,6,6,6
270030315,6,2,1,8,2,7,6,6,6,6,6
270030320,6,2,1,8,2,7,6,6,6,6,6
270030325,6,2,1,8,2,4,4,6,6,6,6
270030330,6,2,1,8,2,4,4,6,6,6,6
270030335,6,2,1,8,2,4,4,6,6,6,6
270030340,6,2,1,8,2,4,4,6,6,6,6
270030405,6,2,1,8,2,4,6,6,6,6,6
270030410,6,2,1,8,2,4,6,6,6,6,6
270030415,6,2,1,8,2,4,6,6,6,6,6
270030420,6,2,1,8,2,4,6,6,6,6,6
270030425,6,2,1,8,2,4,6,6,6,6,6
270030430,6,2,1,8,2,4,4,6,6,6,6
270030435,6,2,1,8,2,4,6,6,6,6,6
270030440,6,2,1,8,2,4,4,6,6,6,6
270030505,6,2,1,8,2,4,6,6,6,6,6
270030510,6,2,1,8,2,4,6,6,6,6,6
270030515,6,2,1,8,2,4,4,6,6,6,6
270030520,6,2,1,8,2,4,4,6,6,6,6
270030525,6,2,1,8,2,4,4,6,6,6,6
270030530,6,2,1,8,2,4,4,6,6,6,6
270030535,6,2,1,8,2,4,4,6,6,6,6
270030540,6,2,1,8,2,4,4,6,6,6,6
270030605,6,2,1,8,2,4,4,6,6,6,6
270030705,6,2,1,8,2,4,4,6,6,6,6
270030710,6,2,1,8,2,4,4,6,6,6,6
270030805,5,2,1,8,2,7,6,5,5,5,5
270030810,5,2,1,8,2,7,6,5,5,5,5
270030815,5,2,1,8,2,7,6,5,5,5,5
270030820,5,2,1,8,2,7,6,5,5,5,5
270030825,5,2,1,8,2,7,6,5,5,5,5
270030830,5,2,1,8,2,7,6,5,5,5,5
270030835,5,2,1,8,2,7,6,5,5,5,5
270030840,5,2,1,8,2,7,6,5,5,5,5
270030905,6,2,1,8,2,4,4,6,6,6,6
270031005,3,2,1,8,2,4,3,6,3,3,3
270031010,3,2,1,8,2,4,4,6,3,3,3
270031015,3,2,1,8,2,4,3,3,3,3,3
270031020,3,2,1,8,2,4,4,6,3,3,3
270031105,3,2,1,8,2,4,4,3,3,3,6
270031110,3,2,1,8,2,4,4,3,3,3,6
270031115,3,2,1,8,2,4,6,3,3,3,6
270031120,3,2,1,8,2,4,6,3,3,3,6
270031125,3,2,1,8,2,4,4,3,3,3,6
270031205,3,2,1,8,2,4,3,3,3,3,3
270031210,3,2,1,8,2,4,3,3,3,3,3
270031215,3,2,1,8,2,7,6,3,3,3,3
270031220,3,2,1,8,2,7,3,3,3,3,3
270031305,3,2,1,8,2,4,3,3,3,3,3
270031310,3,2,1,8,2,4,3,3,3,3,3
270031315,3,2,1,8,2,4,3,3,3,3,3
270031320,3,2,1,8,2,7,6,3,3,3,3
270031405,3,2,1,8,2,4,6,3,3,3,6
270031410,3,2,1,8,2,4,6,3,3,3,6
270031415,3,2,1,8,2,4,3,3,3,3,3
270031420,3,2,1,8,2,7,6,3,3,3,3
270031425,3,2,1,8,2,7,6,3,3,3,3
270031505,6,2,1,8,2,4,4,6,8,8,6
270031510,6,2,1,8,2,4,4,6,6,6,6
270031515,6,2,1,8,2,4,4,6,6,6,6
270031605,5,2,1,8,2,7,6,5,5,5,6
270031610,5,2,1,8,2,7,6,5,6,6,6
270031615,5,2,1,8,2,7,6,5,5,5,6
270031620,5,2,1,8,2,7,6,5,5,5,5
270031705,5,2,1,8,2,7,6,6,6,6,6
270031710,5,2,1,8,2,7,6,6,6,6,6
270031715,5,2,1,8,2,7,6,5,6,6,6
270031720,5,2,1,8,2,7,6,5,5,5,5
270031805,5,2,1,8,2,7,6,6,5,5,6
270031810,5,2,1,8,2,7,6,5,5,5,6
270031815,5,2,1,8,2,7,6,5,5,5,6
270031820,5,2,1,8,2,7,6,5,5,5,5
270031905,6,2,1,8,2,4,4,6,6,6,6
270031910,6,2,1,8,2,4,4,6,6,6,6
270031915,6,2,1,8,2,4,4,6,6,6,6
270031920,6,2,1,8,2,4,4,6,6,6,6
270031925,6,2,1,8,2,4,4,6,6,6,6
270031930,6,2,1,8,2,4,4,6,6,6,6
270032005,5,2,1,8,2,7,6,5,5,5,5
270032105,6,2,1,8,2,4,4,6,6,6,6
270032205,6,2,1,8,2,4,4,6,6,6,6
270032210,6,2,1,8,2,4,4,6,6,6,6
270032215,6,2,1,8,2,4,4,6,6,6,6
270032220,6,2,1,8,2,4,4,6,6,6,6
270032225,6,2,1,8,2,4,4,6,6,6,6
270032230,6,2,1,8,2,4,4,6,6,6,6
270032235,6,2,1,8,2,4,4,6,6,6,6
270032305,6,2,1,8,2,4,4,6,8,8,6
270032310,6,2,1,8,2,4,4,6,8,8,6
270032405,6,2,1,8,2,4,3,6,6,6,6
270032410,6,2,1,8,2,4,4,6,6,6,6
270032505,6,2,1,8,2,4,4,6,6,6,8
270032510,6,2,1,8,2,4,4,6,6,6,8
270032515,6,2,1,8,2,4,4,6,6,6,8
270032520,6,2,1,8,2,4,4,6,6,6,6
270032605,6,2,1,8,2,4,4,6,6,6,6
270032610,6,2,1,8,2,4,3,6,6,6,6
270032705,6,2,1,8,2,4,4,6,6,6,6
270032710,6,2,1,8,2,4,4,6,6,6,6
270032805,6,2,1,8,2,4,3,6,6,6,6
270032810,6,2,1,8,2,4,3,6,6,6,6
270032905,6,2,1,8,2,4,4,6,6,6,6
270032910,6,2,1,8,2,4,4,6,6,6,6
270033005,6,2,1,8,2,4,3,6,6,6,6
270033010,6,2,1,8,2,4,4,6,6,6,8
270033105,5,2,1,8,2,7,6,6,6,6,6
270033110,5,2,1,8,2,7,6,6,6,6,6
270033115,5,2,1,8,2,7,6,6,6,6,6
270050005,7,1,3,2,1,2,1,7,7,7,7
270050010,7,1,3,2,1,2,1,7,7,7,7
270050015,7,1,3,2,1,2,1,7,7,7,7
270050020,7,1,3,2,1,2,1,7,7,7,7
270050025,8,1,3,2,1,2,1,7,7,7,7
270050030,8,1,3,2,1,2,1,7,7,7,7
270050035,7,1,3,2,1,2,1,7,7,7,7
270050040,7,1,3,2,1,2,7,7,7,7,7
270050045,7,1,3,2,1,2,1,7,7,7,7
270050050,7,1,3,2,1,2,1,7,7,7,7
270050051,7,1,3,2,1,2,1,7,7,7,7
270050052,7,1,3,2,1,2,1,7,7,7,7
270050055,7,1,3,2,1,2,1,7,7,7,7
270050065,7,1,3,2,1,2,1,7,7,7,7
270050075,7,1,3,2,1,2,1,7,7,7,7
270050082,8,1,3,2,1,2,1,7,7,7,7
270050085,7,1,3,2,1,2,1,7,7,7,7
270050090,7,1,3,2,1,2,1,7,7,7,7
270050095,8,1,3,2,1,2,1,7,8,7,7
270050100,7,1,3,2,1,2,1,7,7,7,7
270050105,7,1,3,2,1,2,1,7,7,7,7
270050110,7,1,3,2,1,2,1,7,7,7,7
270050115,7,1,3,2,1,2,1,7,7,7,7
270050120,7,1,3,2,1,2,1,7,7,7,7
270050125,7,1,3,2,1,2,7,7,7,7,7
270050130,7,1,3,2,1,2,1,7,7,7,7
270050135,7,1,3,2,1,2,1,7,7,7,7
270050140,7,1,3,2,1,2,1,7,7,7,7
270050145,8,1,3,2,1,2,1,7,7,7,7
270050150,8,1,3,2,1,2,1,7,7,7,7
270050155,7,1,3,2,1,2,1,7,7,7,7
270050160,8,1,3,2,1,2,1,7,7,7,7
270050165,8,1,3,2,1,2,1,7,7,7,7
270050170,7,1,3,2,1,2,1,7,7,7,7
270050175,8,1,3,2,1,2,1,7,7,7,7
270050180,7,1,3,2,1,2,1,7,7,7,7
270050185,8,1,3,2,1,2,1,7,8,7,7
270050190,7,1,3,2,1,2,1,7,7,7,7
270050195,7,1,3,2,1,2,1,7,7,7,7
270050200,8,1,3,2,1,2,1,7,7,7,7
270050205,7,1,3,2,1,2,1,7,7,7,7
270050210,8,1,3,2,1,2,1,7,7,7,7
270050215,7,1,3,2,1,2,1,7,7,7,7
270050220,8,1,3,2,1,2,1,7,7,7,7
270050225,7,1,3,2,1,2,1,7,7,7,7
270050230,8,1,3,2,1,2,1,7,7,7,7
270050235,7,1,3,2,1,2,1,7,7,7,7
270050240,7,1,3,2,1,2,1,7,7,7,7
270070005,8,1,2,1,1,2,1,7,7,7,7
270070010,8,1,2,1,1,2,1,7,7,7,7
270070015,8,1,2,1,1,2,1,7,7,7,7
270070020,8,1,2,1,1,2,1,7,7,7,7
270070025,8,1,2,1,1,2,1,7,7,7,7
270070030,8,1,2,1,1,2,1,7,7,7,7
270070032,8,1,2,1,1,2,1,8,8,8,8
270070035,8,1,2,1,1,2,1,7,7,7,7
270070040,8,1,2,1,1,2,1,7,7,7,7
270070045,8,1,2,1,1,2,1,7,7,7,7
270070050,8,1,2,1,1,2,1,8,8,8,8
270070055,8,1,2,1,1,2,1,8,8,8,8
270070060,8,1,2,1,1,2,1,7,7,7,7
270070065,8,1,2,1,1,2,1,8,8,8,8
270070070,8,1,2,1,1,2,1,8,8,8,8
270070075,8,1,2,1,1,2,1,7,7,7,7
270070080,8,1,2,1,1,2,1,8,8,8,8
270070085,8,1,2,1,1,2,1,8,8,8,8
270070090,8,1,2,1,1,2,1,7,7,7,7
270070095,8,1,2,1,1,2,1,8,8,8,8
270070100,8,1,2,1,1,2,1,7,7,7,7
270070105,8,1,2,1,1,2,1,8,8,8,8
270070110,8,1,2,1,1,2,1,8,8,8,8
270070115,8,1,2,1,1,2,1,7,7,7,7
270070120,8,1,2,1,1,2,1,7,8,7,7
270070125,8,1,2,1,1,2,1,7,8,7,7
270070130,8,1,2,1,1,2,1,7,7,7,7
270070135,8,1,2,1,1,2,1,8,8,8,8
270070140,8,1,2,1,1,2,1,7,7,7,7
270070145,8,1,2,1,1,2,1,7,7,7,7
270070150,8,1,2,1,1,2,1,7,7,7,7
270070155,8,1,2,1,1,2,1,7,7,7,7
270070160,8,1,2,1,1,2,1,8,8,8,8
270070165,8,1,2,1,1,2,1,8,8,8,8
270070170,8,1,2,1,1,2,1,8,8,8,8
270070172,8,1,2,1,1,2,1,7,7,7,7
270070175,8,1,2,1,1,2,1,8,8,8,8
270070180,8,1,2,1,1,2,1,7,7,7,7
270070185,8,1,2,1,1,2,1,8,8,8,8
270070190,8,1,2,1,1,2,1,8,8,8,8
270070195,8,1,2,1,1,2,1,7,7,7,7
270070200,8,1,2,1,1,2,1,7,7,7,7
270070202,8,1,2,1,1,2,1,7,7,7,7
270070205,8,1,2,1,1,2,1,7,7,7,7
270070210,8,1,2,1,1,2,1,8,8,8,8
270070215,8,1,2,1,1,2,1,7,7,7,7
270070220,8,1,2,1,1,2,1,7,7,7,7
270070225,8,1,2,1,1,2,1,7,7,7,7
270070230,8,1,2,1,1,2,1,7,7,7,7
270070235,8,1,2,1,1,2,1,8,8,8,8
270070240,8,1,2,1,1,2,1,8,8,8,8
270070245,8,1,2,1,1,2,1,8,8,8,8
270070250,8,1,2,1,1,2,1,8,8,8,8
270070255,8,1,2,1,1,2,1,8,8,8,8
270070260,8,1,2,1,1,2,1,8,8,8,8
270070265,8,1,2,1,1,2,1,8,8,8,8
270070270,8,1,2,1,1,2,1,8,8,8,8
270070275,8,1,2,1,1,2,1,7,7,7,7
270070276,8,1,2,1,1,2,1,7,7,7,7
270070280,8,1,2,1,1,2,1,7,8,7,7
270070285,8,1,2,1,1,2,1,8,8,8,8
270070290,8,1,2,1,1,2,1,7,7,7,7
270070295,8,1,2,1,1,2,1,7,7,7,7
270070300,8,1,2,1,1,2,1,7,7,7,7
270090005,6,1,2,2,7,4,3,6,8,8,6
270090010,6,1,2,2,7,4,3,6,8,8,6
270090015,6,1,2,2,7,4,3,6,8,8,6
270090020,6,1,2,2,7,4,3,6,8,8,6
270090025,6,1,2,2,7,4,3,6,8,8,6
270090030,6,1,2,2,7,3,3,6,8,8,6
270090035,6,1,2,2,7,4,3,6,8,8,6
270090040,6,1,2,2,7,3,3,6,6,6,6
270090045,6,1,2,2,7,3,7,6,8,6,6
270090050,6,1,2,2,7,4,3,6,8,8,6
270090055,6,1,2,2,7,3,3,6,6,6,6
270090056,6,1,2,2,7,3,7,6,6,6,6
270090060,6,1,2,2,7,3,7,6,6,6,6
270090067,6,1,2,2,7,3,3,6,8,6,6
270090070,6,1,2,2,7,3,3,6,6,6,6
270090080,6,1,2,2,7,3,7,6,6,6,6
270090085,6,1,2,2,7,3,7,6,6,6,6
270090090,6,1,2,2,7,4,3,6,8,8,6
270090095,6,1,2,2,7,3,7,6,6,6,6
270090100,6,1,2,2,7,3,7,6,6,6,6
270090105,6,1,2,2,7,3,7,6,6,6,6
270090110,6,1,2,2,7,3,7,6,6,6,6
270090111,6,1,2,2,7,3,7,6,6,6,6
270090112,6,1,2,2,7,3,7,6,6,6,6
270090113,6,1,2,2,7,3,3,6,6,6,6
270090115,6,1,2,2,7,3,7,6,6,6,6
270090120,6,1,2,2,7,3,7,6,6,6,6
270110005,7,3,3,2,7,3,7,7,7,7,7
270110010,7,3,3,2,7,3,7,7,7,7,7
270110015,7,3,3,2,7,3,7,7,7,7,7
270110020,7,3,3,2,7,3,7,7,7,7,7
