VTD,COURT_ORDERED,PLAN1,PLAN2,PLAN3,PLAN4,PLAN5,PLAN6
270010005,8,1,2,1,1,2,4
270010010,8,1,2,1,1,2,4
270010015,8,1,2,1,1,2,4
270010020,8,1,2,1,1,2,4
270010025,8,1,2,1,1,2,4
270010030,8,1,2,1,1,2,4
270010035,8,1,2,1,1,2,4
270010038,8,1,2,1,1,2,4
270010040,8,1,2,1,1,2,4
270010045,8,1,2,1,1,2,4
270010050,8,1,2,1,1,2,4
270010055,8,1,2,1,1,2,4
270010060,8,1,2,1,1,4,4
270010065,8,1,2,1,1,2,1
270010070,8,1,2,1,1,2,1
270010075,8,1,2,1,1,4,4
270010080,8,1,2,1,1,2,4
270010082,8,1,2,1,1,4,4
270010085,8,1,2,1,1,2,4
270010090,8,1,2,1,1,4,4
270010095,8,1,2,1,1,2,4
270010100,8,1,2,1,1,2,4
270010105,8,1,2,1,1,2,4
270010110,8,1,2,1,1,2,4
270010115,8,1,2,1,1,4,4
270010120,8,1,2,1,1,2,4
270010125,8,1,2,1,1,2,4
270010130,8,1,2,1,1,2,1
270010132,8,1,2,1,1,4,4
270010135,8,1,2,1,1,4,4
270010140,8,1,2,1,1,2,4
270010145,8,1,2,1,1,2,4
270010150,8,1,2,1,1,2,4
270010155,8,1,2,1,1,4,4
270010160,8,1,2,1,1,2,4
270010165,8,1,2,1,1,2,4
270010170,8,1,2,1,1,4,4
270010175,8,1,2,1,1,2,4
270010180,8,1,2,1,1,2,4
270010185,8,1,2,1,1,2,4
270010190,8,1,2,1,1,2,4
270010195,8,1,2,1,1,2,4
270010200,8,1,2,1,1,2,4
270010205,8,1,2,1,1,4,4
270010210,8,1,2,1,1,2,4
270010215,8,1,2,1,1,4,4
270010220,8,1,2,1,1,4,4
270010225,8,1,2,1,1,4,4
270010230,8,1,2,1,1,2,4
270010240,8,1,2,1,1,2,4
270010241,8,1,2,1,1,2,4
270010255,8,1,2,1,1,2,4
270010260,8,1,2,1,1,2,4
270010285,8,1,2,1,1,2,1
270010290,8,1,2,1,1,2,4
