CNTY_WARD,Governor_CONG,Hunter_CONG,Congressmen_CONG,Congressmen_Alt_CONG,Mathematicians_CONG,PMC_CONG
ADAMS|275|1,3,3,3,3,3,6
ADAMS|275|2,3,3,3,3,3,6
ADAMS|275|3,3,3,3,3,3,6
ADAMS|275|4,3,3,3,3,3,6
ADAMS|300|1,3,3,3,3,3,6
ADAMS|300|2,3,3,3,3,3,6
ADAMS|300|3,3,3,3,3,3,6
ADAMS|7300|1,3,3,3,3,3,6
ADAMS|7300|2,3,3,3,3,3,6
ADAMS|16075|1,3,3,3,3,3,6
ADAMS|19575|1,3,3,3,3,3,6
ADAMS|19575|2,3,3,3,3,3,6
ADAMS|19575|3,3,3,3,3,3,6
ADAMS|22000|1,3,3,3,3,3,6
ADAMS|22000|2,3,3,3,3,3,6
ADAMS|27950|1,3,3,3,3,3,6
ADAMS|37625|1,3,3,3,3,3,6
ADAMS|37625|2,3,3,3,3,3,6
ADAMS|43425|1,3,3,3,3,3,6
ADAMS|44250|1,3,3,3,3,3,6
ADAMS|53725|1,3,3,3,3,3,6
ADAMS|56525|1,3,3,3,3,3,6
ADAMS|56525|2,3,3,3,3,3,6
ADAMS|56525|3,3,3,3,3,3,6
ADAMS|56750|1,3,3,3,3,3,6
ADAMS|65450|1,3,3,3,3,3,6
ADAMS|65450|2,3,3,3,3,3,6
ADAMS|65825|1,3,3,3,3,3,6
ADAMS|65825|2,3,3,3,3,3,6
ADAMS|65825|3,3,3,3,3,3,6
ADAMS|67425|1,3,3,3,3,3,6
ADAMS|69275|1,3,3,3,3,3,6
ADAMS|69275|2,3,3,3,3,3,6
ADAMS|69275|3,3,3,3,3,3,6
ADAMS|69275|4,3,3,3,3,3,6
ADAMS|69275|5,3,3,3,3,3,6
ADAMS|76350|1,3,3,3,3,3,6
ADAMS|76350|2,3,3,3,3,3,6
ADAMS|77800|1,3,3,3,3,3,6
ADAMS|77800|2,3,3,3,3,3,6
ADAMS|77800|3,3,3,3,3,3,6
ADAMS|88150|5,3,3,3,3,3,6
ADAMS|88150|9,3,3,3,3,3,6
ASHLAND|550|1,7,7,7,7,7,7
ASHLAND|3225|1,7,7,7,7,7,7
ASHLAND|3225|2,7,7,7,7,7,7
ASHLAND|3225|3,7,7,7,7,7,7
ASHLAND|3225|4,7,7,7,7,7,7
ASHLAND|3225|5,7,7,7,7,7,7
ASHLAND|3225|6,7,7,7,7,7,7
ASHLAND|3225|7,7,7,7,7,7,7
ASHLAND|3225|8,7,7,7,7,7,7
ASHLAND|3225|9,7,7,7,7,7,7
ASHLAND|3225|10,7,7,7,7,7,7
ASHLAND|3225|11,7,7,7,7,7,7
ASHLAND|3250|1,7,7,7,7,7,7
ASHLAND|11525|1,7,7,7,7,7,7
ASHLAND|11525|2,7,7,7,7,7,7
ASHLAND|14550|1,7,7,7,7,7,7
ASHLAND|29250|1,7,7,7,7,7,7
ASHLAND|29875|1,7,7,7,7,7,7
ASHLAND|29875|2,7,7,7,7,7,7
ASHLAND|37775|1,7,7,7,7,7,7
ASHLAND|42562|1,7,7,7,7,7,7
ASHLAND|49200|1,7,7,7,7,7,7
ASHLAND|49200|2,7,7,7,7,7,7
ASHLAND|50700|1,7,7,7,7,7,7
ASHLAND|54400|1,7,7,7,7,7,7
ASHLAND|54400|2,7,7,7,7,7,7
ASHLAND|54400|3,7,7,7,7,7,7
ASHLAND|61600|1,7,7,7,7,7,7
ASHLAND|61600|2,7,7,7,7,7,7
ASHLAND|71350|1,7,7,7,7,7,7
ASHLAND|71350|2,7,7,7,7,7,7
ASHLAND|72825|1,7,7,7,7,7,7
ASHLAND|86850|1,7,7,7,7,7,7
ASHLAND|86850|2,7,7,7,7,7,7
BARRON|1325|1,7,7,7,7,7,7
BARRON|1350|1,7,7,7,7,7,7
BARRON|1350|2,7,7,7,7,7,7
BARRON|2775|1,7,7,7,7,7,7
BARRON|4875|1,7,7,7,7,7,7
BARRON|4875|2,7,7,7,7,7,7
BARRON|4875|3,7,7,7,7,7,7
BARRON|4875|4,7,7,7,7,7,7
BARRON|4875|5,7,7,7,7,7,7
BARRON|4875|6,7,7,7,7,7,7
BARRON|4875|7,7,7,7,7,7,7
BARRON|4900|1,7,7,7,7,7,7
BARRON|4900|2,7,7,7,7,7,7
BARRON|5650|1,7,7,7,7,7,7
BARRON|12250|1,7,7,7,7,7,7
BARRON|12250|2,7,7,7,7,7,7
BARRON|12250|3,7,7,7,7,7,7
BARRON|13500|1,7,7,7,7,7,7
BARRON|14325|1,7,7,7,7,7,7
BARRON|14325|2,7,7,7,7,7,7
BARRON|14325|3,7,7,7,7,7,7
BARRON|14325|4,7,7,7,7,7,7
BARRON|14350|1,7,7,7,7,7,7
BARRON|14350|2,7,7,7,7,7,7
BARRON|15600|1,7,7,7,7,7,7
BARRON|17875|1,7,7,7,7,7,7
BARRON|18025|1,7,7,7,7,7,7
BARRON|18025|2,7,7,7,7,7,7
BARRON|18025|3,7,7,7,7,7,7
BARRON|18025|4,7,7,7,7,7,7
BARRON|18050|1,7,7,7,7,7,7
BARRON|18575|1,7,7,7,7,7,7
BARRON|18600|1,7,7,7,7,7,7
BARRON|20650|1,7,7,7,7,7,7
BARRON|20650|2,7,7,7,7,7,7
BARRON|20750|1,7,7,7,7,7,7
BARRON|20750|2,7,7,7,7,7,7
BARRON|33225|1,7,7,7,7,7,7
BARRON|41600|1,7,7,7,7,7,7
BARRON|41600|2,7,7,7,7,7,7
BARRON|48825|1,7,7,7,7,7,7
BARRON|48825|2,7,7,7,7,7,7
BARRON|48950|1,7,7,7,7,7,7
BARRON|56350|2,7,7,7,7,7,7
BARRON|56350|3,7,7,7,7,7,7
BARRON|58950|1,7,7,7,7,7,7
BARRON|58950|2,7,7,7,7,7,7
BARRON|65150|1,7,7,7,7,7,7
BARRON|65175|1,7,7,7,7,7,7
BARRON|65175|2,7,7,7,7,7,7
BARRON|65200|1,7,7,7,7,7,7
BARRON|65200|2,7,7,7,7,7,7
BARRON|67350|1,7,7,7,7,7,7
BARRON|67350|2,7,7,7,7,7,7
BARRON|67350|3,7,7,7,7,7,7
BARRON|67350|4,7,7,7,7,7,7
BARRON|67350|5,7,7,7,7,7,7
BARRON|67350|6,7,7,7,7,7,7
