VTDID,Enacted,Plan1,Plan2,Plan3,Plan4,Plan5,Plan6
270010005,8,3,3,7,4,4,7
270010010,8,3,3,7,4,4,7
270010015,8,3,3,7,4,4,1
270010020,8,3,3,7,4,4,7
270010025,8,3,3,7,4,4,7
270010030,8,3,3,7,4,4,7
270010035,8,3,3,7,4,4,1
270010038,8,3,3,7,4,4,7
270010040,8,3,3,7,4,4,7
270010045,8,3,3,7,4,4,7
270010050,8,3,3,7,4,4,7
270010055,8,3,3,7,4,4,7
270010060,8,3,3,7,4,2,7
270010065,8,3,3,7,4,4,1
270010070,8,3,3,7,4,4,1
270010075,8,3,3,7,4,2,7
270010080,8,3,3,7,4,4,7
270010082,8,3,3,7,4,2,7
270010085,8,3,3,7,4,4,7
270010090,8,3,3,7,4,2,7
270010095,8,3,3,7,4,4,7
270010100,8,3,3,7,4,4,1
270010105,8,3,3,7,4,4,1
270010110,8,3,3,7,4,4,7
270010115,8,3,3,7,4,2,7
270010120,8,3,3,7,4,4,7
270010125,8,3,3,7,4,4,7
270010130,8,3,3,7,4,4,1
270010132,8,3,3,7,4,2,7
270010135,8,3,3,7,4,2,7
270010140,8,3,3,7,4,4,7
270010145,8,3,3,7,4,4,7
270010150,8,3,3,7,4,4,7
270010155,8,3,3,7,4,2,7
270010160,8,3,3,7,4,4,7
270010165,8,3,3,7,4,4,7
270010170,8,3,3,7,4,2,7
270010175,8,3,3,7,4,4,7
270010180,8,3,3,7,4,4,7
270010185,8,3,3,7,4,4,7
270010190,8,3,3,7,4,4,7
270010195,8,3,3,7,4,4,1
270010200,8,3,3,7,4,4,1
270010205,8,3,3,7,4,2,7
270010210,8,3,3,7,4,4,7
270010215,8,3,3,7,4,2,7
270010220,8,3,3,7,4,2,7
270010225,8,3,3,7,4,2,7
270010230,8,3,3,7,4,4,7
270010240,8,3,3,7,4,4,1
270010255,8,3,3,7,4,4,7
270010260,8,3,3,7,4,4,1
270010285,8,3,3,7,4,4,1
270010290,8,3,3,7,4,4,1
270030005,6,2,2,0,1,2,5
270030010,6,2,2,0,1,2,5
270030015,6,2,2,0,1,2,5
270030020,6,2,2,0,1,2,5
270030025,6,2,2,0,1,2,5
270030030,6,2,2,0,1,2,5
270030035,6,2,2,0,1,2,5
270030040,6,2,2,0,1,2,5
270030045,6,2,2,1,1,2,5
270030050,6,2,2,0,1,2,5
270030105,6,2,2,0,1,2,5
270030110,6,2,2,0,1,2,5
270030115,6,2,2,0,1,2,5
270030120,6,2,2,0,1,2,5
270030125,6,2,2,0,1,2,5
270030130,6,2,2,0,1,2,5
270030135,6,2,2,0,1,2,5
270030140,6,2,2,0,1,2,5
270030205,6,2,2,0,1,2,5
270030305,6,2,2,1,1,5,5
270030310,6,2,2,1,1,5,5
270030315,6,2,2,1,1,5,5
270030320,6,2,2,1,1,5,5
270030325,6,2,2,1,1,2,5
270030330,6,2,2,1,1,2,5
270030335,6,2,2,1,1,2,7
270030340,6,2,2,1,1,2,5
270030405,6,2,2,1,1,2,5
270030410,6,2,2,1,1,5,5
270030415,6,2,2,1,1,2,5
270030420,6,2,2,1,1,2,5
270030425,6,2,2,1,1,2,5
270030430,6,2,2,1,1,2,5
270030435,6,2,2,1,1,2,5
270030440,6,2,2,1,1,2,5
270030505,6,2,2,1,1,2,5
270030510,6,2,2,1,1,2,5
270030515,6,2,2,1,1,2,5
270030520,6,2,2,1,1,2,5
270030525,6,2,2,1,1,2,5
270030530,6,2,2,1,1,2,5
270030535,6,2,2,1,1,2,5
270030540,6,2,2,1,1,2,5
270030605,6,2,2,1,1,2,7
270030705,6,2,2,1,1,2,5
270030710,6,2,2,1,1,5,5
270030805,5,2,2,1,1,5,5
270030810,5,2,2,1,1,5,5
270030815,5,2,2,1,1,5,0
270030820,5,2,2,1,1,5,7
270030825,5,2,2,1,1,5,7
270030830,5,2,2,1,1,5,7
270030835,5,2,2,1,1,5,7
270030840,5,2,2,1,1,5,7
270030905,6,2,2,0,1,2,5
270031005,3,2,2,0,1,2,5
270031010,3,2,2,0,1,2,5
270031015,3,2,2,0,1,2,5
270031020,3,2,2,0,1,2,5
270031105,3,2,2,0,1,2,5
270031110,3,2,2,1,1,2,5
270031115,3,2,2,1,1,2,5
270031120,3,2,2,1,1,2,5
270031125,3,2,2,0,1,2,5
270031205,3,2,2,0,1,2,5
270031210,3,2,2,0,1,2,5
270031215,3,2,2,0,1,2,5
270031220,3,2,2,0,1,2,5
270031305,3,2,2,0,1,2,5
270031310,3,2,2,0,1,2,5
270031315,3,2,2,0,1,2,5
270031320,3,2,2,0,1,2,7
270031405,3,2,2,1,1,2,5
270031410,3,2,2,1,1,2,5
270031415,3,2,2,0,1,2,5
270031420,3,2,2,0,1,5,5
270031425,3,2,2,0,1,5,7
270031505,6,2,2,0,1,2,5
270031510,6,2,2,0,1,2,5
